Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(205900k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2020-10-28T22:57:39.211-0800: 0.856: [Full GC (Metadata GC Threshold) 2020-10-28T22:57:39.211-0800: 0.856: [Tenured: 0K->14336K(1398144K), 0.0619215 secs] 313175K->14336K(2027264K), [Metaspace: 20536K->20536K(1067008K)], 0.0620462 secs] [Times: user=0.13 sys=0.00, real=0.06 secs] 
2020-10-28T22:57:45.253-0800: 6.898: [GC (Allocation Failure) 2020-10-28T22:57:45.253-0800: 6.898: [DefNew: 559232K->19205K(629120K), 0.0388290 secs] 573568K->33542K(2027264K), 0.0389308 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
2020-10-28T22:57:57.207-0800: 18.851: [GC (Allocation Failure) 2020-10-28T22:57:57.207-0800: 18.851: [DefNew: 559346K->169K(629120K), 0.0030063 secs] 592928K->33751K(2027264K), 0.0030683 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:57.523-0800: 19.168: [GC (Allocation Failure) 2020-10-28T22:57:57.523-0800: 19.168: [DefNew: 559401K->122K(629120K), 0.0029964 secs] 592983K->33707K(2027264K), 0.0030743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:57.837-0800: 19.481: [GC (Allocation Failure) 2020-10-28T22:57:57.837-0800: 19.481: [DefNew: 559354K->125K(629120K), 0.0028987 secs] 592939K->33711K(2027264K), 0.0029626 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:58.157-0800: 19.802: [GC (Allocation Failure) 2020-10-28T22:57:58.157-0800: 19.802: [DefNew: 559357K->108K(629120K), 0.0031246 secs] 592943K->33711K(2027264K), 0.0031969 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:58.476-0800: 20.121: [GC (Allocation Failure) 2020-10-28T22:57:58.476-0800: 20.121: [DefNew: 559340K->86K(629120K), 0.0031055 secs] 592943K->33692K(2027264K), 0.0031775 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:58.789-0800: 20.434: [GC (Allocation Failure) 2020-10-28T22:57:58.789-0800: 20.434: [DefNew: 559318K->60K(629120K), 0.0027572 secs] 592924K->33675K(2027264K), 0.0028200 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:57:59.136-0800: 20.781: [GC (Allocation Failure) 2020-10-28T22:57:59.136-0800: 20.781: [DefNew: 559292K->80K(629120K), 0.0026737 secs] 592907K->33695K(2027264K), 0.0027372 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:59.454-0800: 21.098: [GC (Allocation Failure) 2020-10-28T22:57:59.454-0800: 21.098: [DefNew: 559312K->101K(629120K), 0.0028284 secs] 592927K->33715K(2027264K), 0.0028931 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:57:59.765-0800: 21.410: [GC (Allocation Failure) 2020-10-28T22:57:59.765-0800: 21.410: [DefNew: 559333K->89K(629120K), 0.0028340 secs] 592947K->33704K(2027264K), 0.0029003 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:00.100-0800: 21.744: [GC (Allocation Failure) 2020-10-28T22:58:00.100-0800: 21.744: [DefNew: 559321K->92K(629120K), 0.0028614 secs] 592936K->33707K(2027264K), 0.0029252 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:00.428-0800: 22.073: [GC (Allocation Failure) 2020-10-28T22:58:00.428-0800: 22.073: [DefNew: 559324K->126K(629120K), 0.0030127 secs] 592939K->33741K(2027264K), 0.0030735 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:00.767-0800: 22.411: [GC (Allocation Failure) 2020-10-28T22:58:00.767-0800: 22.411: [DefNew: 559358K->111K(629120K), 0.0027471 secs] 592973K->33726K(2027264K), 0.0028134 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:01.074-0800: 22.719: [GC (Allocation Failure) 2020-10-28T22:58:01.074-0800: 22.719: [DefNew: 559343K->120K(629120K), 0.0028139 secs] 592958K->33735K(2027264K), 0.0028797 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:01.391-0800: 23.036: [GC (Allocation Failure) 2020-10-28T22:58:01.391-0800: 23.036: [DefNew: 559352K->70K(629120K), 0.0028367 secs] 592967K->33686K(2027264K), 0.0029111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:01.710-0800: 23.354: [GC (Allocation Failure) 2020-10-28T22:58:01.710-0800: 23.354: [DefNew: 559302K->60K(629120K), 0.0026752 secs] 592918K->33676K(2027264K), 0.0027398 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:02.052-0800: 23.696: [GC (Allocation Failure) 2020-10-28T22:58:02.052-0800: 23.696: [DefNew: 559292K->88K(629120K), 0.0027493 secs] 592908K->33704K(2027264K), 0.0028149 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:02.367-0800: 24.011: [GC (Allocation Failure) 2020-10-28T22:58:02.367-0800: 24.011: [DefNew: 559320K->105K(629120K), 0.0027738 secs] 592936K->33721K(2027264K), 0.0028491 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:02.702-0800: 24.347: [GC (Allocation Failure) 2020-10-28T22:58:02.702-0800: 24.347: [DefNew: 559337K->93K(629120K), 0.0028191 secs] 592953K->33709K(2027264K), 0.0028882 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:03.066-0800: 24.711: [GC (Allocation Failure) 2020-10-28T22:58:03.067-0800: 24.711: [DefNew: 559325K->102K(629120K), 0.0028104 secs] 592941K->33718K(2027264K), 0.0028965 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:03.415-0800: 25.059: [GC (Allocation Failure) 2020-10-28T22:58:03.415-0800: 25.059: [DefNew: 559334K->100K(629120K), 0.0026240 secs] 592950K->33716K(2027264K), 0.0026894 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:03.745-0800: 25.390: [GC (Allocation Failure) 2020-10-28T22:58:03.746-0800: 25.390: [DefNew: 559332K->144K(629120K), 0.0026697 secs] 592948K->33760K(2027264K), 0.0027339 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:04.069-0800: 25.713: [GC (Allocation Failure) 2020-10-28T22:58:04.069-0800: 25.713: [DefNew: 559376K->83K(629120K), 0.0025763 secs] 592992K->33699K(2027264K), 0.0026410 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:04.386-0800: 26.031: [GC (Allocation Failure) 2020-10-28T22:58:04.386-0800: 26.031: [DefNew: 559315K->83K(629120K), 0.0026037 secs] 592931K->33700K(2027264K), 0.0026687 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:04.721-0800: 26.365: [GC (Allocation Failure) 2020-10-28T22:58:04.721-0800: 26.365: [DefNew: 559315K->68K(629120K), 0.0025999 secs] 592932K->33685K(2027264K), 0.0026683 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:05.072-0800: 26.717: [GC (Allocation Failure) 2020-10-28T22:58:05.072-0800: 26.717: [DefNew: 559299K->87K(629120K), 0.0026347 secs] 592915K->33704K(2027264K), 0.0027065 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:05.423-0800: 27.067: [GC (Allocation Failure) 2020-10-28T22:58:05.423-0800: 27.067: [DefNew: 559319K->90K(629120K), 0.0025604 secs] 592936K->33707K(2027264K), 0.0026409 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:05.743-0800: 27.387: [GC (Allocation Failure) 2020-10-28T22:58:05.743-0800: 27.387: [DefNew: 559322K->100K(629120K), 0.0025837 secs] 592939K->33717K(2027264K), 0.0026511 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:06.055-0800: 27.700: [GC (Allocation Failure) 2020-10-28T22:58:06.055-0800: 27.700: [DefNew: 559332K->81K(629120K), 0.0025472 secs] 592949K->33699K(2027264K), 0.0026143 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:06.369-0800: 28.013: [GC (Allocation Failure) 2020-10-28T22:58:06.369-0800: 28.013: [DefNew: 559313K->90K(629120K), 0.0025423 secs] 592931K->33708K(2027264K), 0.0026060 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:06.700-0800: 28.344: [GC (Allocation Failure) 2020-10-28T22:58:06.700-0800: 28.344: [DefNew: 559322K->76K(629120K), 0.0026152 secs] 592940K->33695K(2027264K), 0.0026820 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:07.711-0800: 29.355: [GC (Allocation Failure) 2020-10-28T22:58:07.711-0800: 29.355: [DefNew: 559308K->76K(629120K), 0.0024185 secs] 592927K->33695K(2027264K), 0.0024802 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:08.024-0800: 29.669: [GC (Allocation Failure) 2020-10-28T22:58:08.024-0800: 29.669: [DefNew: 559308K->102K(629120K), 0.0026275 secs] 592927K->33721K(2027264K), 0.0026914 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:08.336-0800: 29.980: [GC (Allocation Failure) 2020-10-28T22:58:08.336-0800: 29.980: [DefNew: 559334K->90K(629120K), 0.0026304 secs] 592953K->33709K(2027264K), 0.0026964 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:08.659-0800: 30.303: [GC (Allocation Failure) 2020-10-28T22:58:08.659-0800: 30.303: [DefNew: 559322K->74K(629120K), 0.0025729 secs] 592941K->33693K(2027264K), 0.0026410 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:08.976-0800: 30.620: [GC (Allocation Failure) 2020-10-28T22:58:08.976-0800: 30.620: [DefNew: 559306K->78K(629120K), 0.0025390 secs] 592925K->33698K(2027264K), 0.0026055 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:09.319-0800: 30.964: [GC (Allocation Failure) 2020-10-28T22:58:09.319-0800: 30.964: [DefNew: 559310K->95K(629120K), 0.0026002 secs] 592930K->33714K(2027264K), 0.0026648 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:09.655-0800: 31.299: [GC (Allocation Failure) 2020-10-28T22:58:09.655-0800: 31.300: [DefNew: 559327K->70K(629120K), 0.0024995 secs] 592946K->33689K(2027264K), 0.0025654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:09.995-0800: 31.640: [GC (Allocation Failure) 2020-10-28T22:58:09.995-0800: 31.640: [DefNew: 559302K->80K(629120K), 0.0026160 secs] 592921K->33700K(2027264K), 0.0026772 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:10.328-0800: 31.972: [GC (Allocation Failure) 2020-10-28T22:58:10.328-0800: 31.972: [DefNew: 559312K->94K(629120K), 0.0027946 secs] 592932K->33714K(2027264K), 0.0028725 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:10.655-0800: 32.299: [GC (Allocation Failure) 2020-10-28T22:58:10.655-0800: 32.299: [DefNew: 559326K->106K(629120K), 0.0025949 secs] 592946K->33727K(2027264K), 0.0026601 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:10.981-0800: 32.626: [GC (Allocation Failure) 2020-10-28T22:58:10.981-0800: 32.626: [DefNew: 559338K->96K(629120K), 0.0026561 secs] 592959K->33716K(2027264K), 0.0027233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:11.306-0800: 32.950: [GC (Allocation Failure) 2020-10-28T22:58:11.306-0800: 32.950: [DefNew: 559328K->74K(629120K), 0.0025046 secs] 592948K->33695K(2027264K), 0.0025708 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:11.631-0800: 33.275: [GC (Allocation Failure) 2020-10-28T22:58:11.631-0800: 33.275: [DefNew: 559306K->95K(629120K), 0.0026310 secs] 592927K->33716K(2027264K), 0.0027138 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:11.975-0800: 33.619: [GC (Allocation Failure) 2020-10-28T22:58:11.975-0800: 33.619: [DefNew: 559327K->94K(629120K), 0.0026241 secs] 592948K->33715K(2027264K), 0.0026903 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:12.307-0800: 33.952: [GC (Allocation Failure) 2020-10-28T22:58:12.307-0800: 33.952: [DefNew: 559326K->88K(629120K), 0.0025956 secs] 592947K->33709K(2027264K), 0.0026610 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:12.627-0800: 34.271: [GC (Allocation Failure) 2020-10-28T22:58:12.627-0800: 34.271: [DefNew: 559320K->89K(629120K), 0.0025978 secs] 592941K->33710K(2027264K), 0.0026764 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:12.970-0800: 34.614: [GC (Allocation Failure) 2020-10-28T22:58:12.970-0800: 34.614: [DefNew: 559321K->77K(629120K), 0.0026884 secs] 592942K->33698K(2027264K), 0.0027550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:13.309-0800: 34.953: [GC (Allocation Failure) 2020-10-28T22:58:13.309-0800: 34.953: [DefNew: 559309K->77K(629120K), 0.0025166 secs] 592930K->33698K(2027264K), 0.0025839 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:13.645-0800: 35.289: [GC (Allocation Failure) 2020-10-28T22:58:13.645-0800: 35.289: [DefNew: 559309K->96K(629120K), 0.0027024 secs] 592930K->33717K(2027264K), 0.0027698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:13.962-0800: 35.606: [GC (Allocation Failure) 2020-10-28T22:58:13.962-0800: 35.606: [DefNew: 559323K->96K(629120K), 0.0026328 secs] 592944K->33717K(2027264K), 0.0026986 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:14.282-0800: 35.926: [GC (Allocation Failure) 2020-10-28T22:58:14.282-0800: 35.926: [DefNew: 559328K->82K(629120K), 0.0025442 secs] 592949K->33703K(2027264K), 0.0026094 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:14.619-0800: 36.263: [GC (Allocation Failure) 2020-10-28T22:58:14.619-0800: 36.263: [DefNew: 559314K->85K(629120K), 0.0027172 secs] 592935K->33706K(2027264K), 0.0027825 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-10-28T22:58:14.952-0800: 36.597: [GC (Allocation Failure) 2020-10-28T22:58:14.952-0800: 36.597: [DefNew: 559317K->87K(629120K), 0.0026988 secs] 592938K->33708K(2027264K), 0.0027656 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T22:58:15.287-0800: 36.931: [GC (Allocation Failure) 2020-10-28T22:58:15.287-0800: 36.931: [DefNew: 559090K->97K(629120K), 0.0026572 secs] 592711K->33718K(2027264K), 0.0027220 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
Heap
 def new generation   total 629120K, used 50930K [0x0000000740000000, 0x000000076aaa0000, 0x000000076aaa0000)
  eden space 559232K,   9% used [0x0000000740000000, 0x00000007431a4630, 0x0000000762220000)
  from space 69888K,   0% used [0x0000000762220000, 0x00000007622384e8, 0x0000000766660000)
  to   space 69888K,   0% used [0x0000000766660000, 0x0000000766660000, 0x000000076aaa0000)
 tenured generation   total 1398144K, used 33620K [0x000000076aaa0000, 0x00000007c0000000, 0x00000007c0000000)
   the space 1398144K,   2% used [0x000000076aaa0000, 0x000000076cb753f8, 0x000000076cb75400, 0x00000007c0000000)
 Metaspace       used 36871K, capacity 39294K, committed 39344K, reserved 1083392K
  class space    used 4653K, capacity 5032K, committed 5040K, reserved 1048576K
