Java HotSpot(TM) 64-Bit Server VM (25.181-b13) for bsd-amd64 JRE (1.8.0_181-b13), built on Jul  7 2018 01:02:31 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 33554432k(317172k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=536870912 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2020-10-28T22:59:59.518-0800: 0.549: [GC (Allocation Failure) [PSYoungGen: 131584K->7155K(153088K)] 131584K->7171K(502784K), 0.0048091 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:24.298-0800: 25.328: [GC (Allocation Failure) [PSYoungGen: 142465K->4833K(156672K)] 159258K->21635K(506368K), 0.0024562 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:24.594-0800: 25.624: [GC (Allocation Failure) [PSYoungGen: 143073K->416K(156160K)] 159875K->21422K(505856K), 0.0037053 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2020-10-28T23:00:24.873-0800: 25.903: [GC (Allocation Failure) [PSYoungGen: 138656K->448K(155136K)] 159662K->21550K(504832K), 0.0019962 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:25.135-0800: 26.164: [GC (Allocation Failure) [PSYoungGen: 137152K->416K(155648K)] 158254K->21526K(505344K), 0.0021711 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:25.376-0800: 26.406: [GC (Allocation Failure) [PSYoungGen: 137120K->448K(156160K)] 158230K->21566K(505856K), 0.0020697 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:25.603-0800: 26.632: [GC (Allocation Failure) [PSYoungGen: 137664K->384K(155648K)] 158782K->21510K(505344K), 0.0017145 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:25.823-0800: 26.853: [GC (Allocation Failure) [PSYoungGen: 137600K->416K(156672K)] 158726K->21550K(506368K), 0.0018735 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:26.033-0800: 27.063: [GC (Allocation Failure) [PSYoungGen: 138656K->416K(156160K)] 159790K->21558K(505856K), 0.0016828 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:26.227-0800: 27.256: [GC (Allocation Failure) [PSYoungGen: 138656K->448K(157696K)] 159798K->21598K(507392K), 0.0017518 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:26.424-0800: 27.454: [GC (Allocation Failure) [PSYoungGen: 140736K->416K(157184K)] 161886K->21574K(506880K), 0.0019435 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:26.614-0800: 27.644: [GC (Allocation Failure) [PSYoungGen: 140704K->272K(159232K)] 161862K->21438K(508928K), 0.0019121 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:26.746-0800: 27.776: [GC (Allocation Failure) [PSYoungGen: 143632K->448K(158720K)] 164798K->21622K(508416K), 0.0017403 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:26.884-0800: 27.914: [GC (Allocation Failure) [PSYoungGen: 143808K->384K(160768K)] 164982K->21558K(510464K), 0.0016373 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:27.039-0800: 28.068: [GC (Allocation Failure) [PSYoungGen: 146304K->416K(159744K)] 167478K->21598K(509440K), 0.0016892 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:27.188-0800: 28.217: [GC (Allocation Failure) [PSYoungGen: 146336K->320K(161792K)] 167518K->21510K(511488K), 0.0016801 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:27.335-0800: 28.365: [GC (Allocation Failure) [PSYoungGen: 148800K->352K(161280K)] 169990K->21662K(510976K), 0.0018103 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:27.482-0800: 28.512: [GC (Allocation Failure) [PSYoungGen: 148832K->352K(163328K)] 170142K->21702K(513024K), 0.0016338 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:27.631-0800: 28.661: [GC (Allocation Failure) [PSYoungGen: 151904K->320K(162816K)] 173254K->21726K(512512K), 0.0017960 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:27.783-0800: 28.813: [GC (Allocation Failure) [PSYoungGen: 151872K->352K(164352K)] 173278K->21806K(514048K), 0.0017129 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:27.931-0800: 28.961: [GC (Allocation Failure) [PSYoungGen: 153952K->320K(163840K)] 175406K->21806K(513536K), 0.0017379 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:28.078-0800: 29.108: [GC (Allocation Failure) [PSYoungGen: 153920K->320K(165888K)] 175406K->21878K(515584K), 0.0016056 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:28.225-0800: 29.255: [GC (Allocation Failure) [PSYoungGen: 156992K->352K(165376K)] 178550K->21950K(515072K), 0.0015492 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:28.369-0800: 29.399: [GC (Allocation Failure) [PSYoungGen: 157024K->352K(166912K)] 178622K->22006K(516608K), 0.0015440 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:28.473-0800: 29.503: [GC (Allocation Failure) [PSYoungGen: 159072K->320K(166400K)] 180726K->22030K(516096K), 0.0015786 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:28.593-0800: 29.622: [GC (Allocation Failure) [PSYoungGen: 159040K->320K(167936K)] 180750K->22102K(517632K), 0.0015812 secs] [Times: user=0.02 sys=0.01, real=0.00 secs] 
2020-10-28T23:00:28.732-0800: 29.761: [GC (Allocation Failure) [PSYoungGen: 161088K->320K(167424K)] 182870K->22142K(517120K), 0.0014606 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:28.865-0800: 29.895: [GC (Allocation Failure) [PSYoungGen: 161088K->320K(168448K)] 182910K->22190K(518144K), 0.0014996 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:29.002-0800: 30.032: [GC (Allocation Failure) [PSYoungGen: 162624K->320K(168448K)] 184494K->22230K(518144K), 0.0015666 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-28T23:00:29.148-0800: 30.178: [GC (Allocation Failure) [PSYoungGen: 162624K->320K(169472K)] 184534K->22246K(519168K), 0.0015958 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:29.303-0800: 30.333: [GC (Allocation Failure) [PSYoungGen: 164160K->320K(168960K)] 186086K->22254K(518656K), 0.0015948 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:29.457-0800: 30.487: [GC (Allocation Failure) [PSYoungGen: 164160K->352K(169984K)] 186094K->22286K(519680K), 0.0015119 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:29.598-0800: 30.627: [GC (Allocation Failure) [PSYoungGen: 165216K->320K(169472K)] 187150K->22254K(519168K), 0.0015843 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:29.718-0800: 30.748: [GC (Allocation Failure) [PSYoungGen: 165184K->320K(170496K)] 187118K->22254K(520192K), 0.0016475 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:29.880-0800: 30.910: [GC (Allocation Failure) [PSYoungGen: 166720K->320K(170496K)] 188654K->22262K(520192K), 0.0015553 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:30.019-0800: 31.048: [GC (Allocation Failure) [PSYoungGen: 166720K->352K(171008K)] 188662K->22358K(520704K), 0.0015809 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:30.155-0800: 31.184: [GC (Allocation Failure) [PSYoungGen: 167776K->320K(171008K)] 189782K->22342K(520704K), 0.0014371 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:30.283-0800: 31.313: [GC (Allocation Failure) [PSYoungGen: 167744K->384K(171520K)] 189766K->22446K(521216K), 0.0015536 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:30.383-0800: 31.413: [GC (Allocation Failure) [PSYoungGen: 168832K->320K(171520K)] 190894K->22454K(521216K), 0.0015250 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:30.508-0800: 31.537: [GC (Allocation Failure) [PSYoungGen: 168768K->320K(172032K)] 190902K->22470K(521728K), 0.0014849 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
2020-10-28T23:00:30.632-0800: 31.662: [GC (Allocation Failure) [PSYoungGen: 169280K->320K(171520K)] 191430K->22478K(521216K), 0.0014702 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:30.740-0800: 31.770: [GC (Allocation Failure) [PSYoungGen: 169280K->352K(172032K)] 191438K->22510K(521728K), 0.0015620 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:30.844-0800: 31.873: [GC (Allocation Failure) [PSYoungGen: 169824K->320K(172032K)] 191982K->22502K(521728K), 0.0015240 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:30.966-0800: 31.996: [GC (Allocation Failure) [PSYoungGen: 169792K->352K(172544K)] 191974K->22542K(522240K), 0.0015518 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:31.086-0800: 32.115: [GC (Allocation Failure) [PSYoungGen: 170848K->320K(172544K)] 193038K->22518K(522240K), 0.0014625 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:31.177-0800: 32.207: [GC (Allocation Failure) [PSYoungGen: 170816K->320K(172544K)] 193014K->22542K(522240K), 0.0014844 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:31.269-0800: 32.298: [GC (Allocation Failure) [PSYoungGen: 170816K->288K(172544K)] 193038K->22534K(522240K), 0.0014726 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:31.358-0800: 32.388: [GC (Allocation Failure) [PSYoungGen: 170784K->320K(173056K)] 193030K->22630K(522752K), 0.0015156 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:31.455-0800: 32.484: [GC (Allocation Failure) [PSYoungGen: 171840K->320K(173056K)] 194150K->22670K(522752K), 0.0014668 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:31.556-0800: 32.586: [GC (Allocation Failure) [PSYoungGen: 171840K->320K(173056K)] 194190K->22678K(522752K), 0.0015342 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:31.660-0800: 32.690: [GC (Allocation Failure) [PSYoungGen: 171840K->320K(173056K)] 194198K->22742K(522752K), 0.0015187 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:31.751-0800: 32.781: [GC (Allocation Failure) [PSYoungGen: 171840K->352K(173056K)] 194262K->22838K(522752K), 0.0015286 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:31.843-0800: 32.873: [GC (Allocation Failure) [PSYoungGen: 171872K->320K(173056K)] 194358K->22854K(522752K), 0.0015428 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:31.934-0800: 32.964: [GC (Allocation Failure) [PSYoungGen: 171840K->320K(173568K)] 194374K->22926K(523264K), 0.0015310 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.029-0800: 33.059: [GC (Allocation Failure) [PSYoungGen: 172864K->320K(173568K)] 195470K->22982K(523264K), 0.0015287 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:32.121-0800: 33.151: [GC (Allocation Failure) [PSYoungGen: 172864K->320K(173568K)] 195526K->23046K(523264K), 0.0015234 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.217-0800: 33.247: [GC (Allocation Failure) [PSYoungGen: 172864K->352K(173568K)] 195590K->23078K(523264K), 0.0016034 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.315-0800: 33.345: [GC (Allocation Failure) [PSYoungGen: 172896K->320K(173568K)] 195622K->23062K(523264K), 0.0015058 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.410-0800: 33.440: [GC (Allocation Failure) [PSYoungGen: 172864K->320K(173568K)] 195606K->23062K(523264K), 0.0015140 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.504-0800: 33.534: [GC (Allocation Failure) [PSYoungGen: 172864K->320K(173568K)] 195606K->23062K(523264K), 0.0015180 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.601-0800: 33.630: [GC (Allocation Failure) [PSYoungGen: 172864K->352K(173568K)] 195606K->23102K(523264K), 0.0015937 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.699-0800: 33.729: [GC (Allocation Failure) [PSYoungGen: 172896K->320K(173568K)] 195646K->23078K(523264K), 0.0015088 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:32.794-0800: 33.824: [GC (Allocation Failure) [PSYoungGen: 172864K->320K(173568K)] 195622K->23094K(523264K), 0.0015838 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.887-0800: 33.916: [GC (Allocation Failure) [PSYoungGen: 172864K->352K(173568K)] 195638K->23150K(523264K), 0.0014664 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:32.979-0800: 34.009: [GC (Allocation Failure) [PSYoungGen: 172896K->352K(173568K)] 195694K->23190K(523264K), 0.0014679 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2020-10-28T23:00:33.074-0800: 34.104: [GC (Allocation Failure) [PSYoungGen: 172896K->320K(173568K)] 195734K->23230K(523264K), 0.0016167 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.170-0800: 34.200: [GC (Allocation Failure) [PSYoungGen: 172864K->320K(173568K)] 195774K->23230K(523264K), 0.0014544 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.271-0800: 34.301: [GC (Allocation Failure) [PSYoungGen: 172864K->320K(173568K)] 195774K->23238K(523264K), 0.0017357 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.376-0800: 34.406: [GC (Allocation Failure) [PSYoungGen: 172864K->320K(173568K)] 195782K->23246K(523264K), 0.0015641 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.474-0800: 34.503: [GC (Allocation Failure) [PSYoungGen: 172864K->352K(174080K)] 195790K->23286K(523776K), 0.0015474 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.574-0800: 34.603: [GC (Allocation Failure) [PSYoungGen: 173920K->352K(174080K)] 196854K->23286K(523776K), 0.0015893 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.668-0800: 34.698: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 196854K->23310K(523776K), 0.0015587 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.762-0800: 34.791: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 196878K->23374K(523776K), 0.0015776 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.853-0800: 34.883: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 196942K->23342K(523776K), 0.0015287 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:33.946-0800: 34.975: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 196910K->23398K(523776K), 0.0015598 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.040-0800: 35.070: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 196966K->23398K(523776K), 0.0015204 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.136-0800: 35.166: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 196966K->23398K(523776K), 0.0014669 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.231-0800: 35.261: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 196966K->23398K(523776K), 0.0014904 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.331-0800: 35.361: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 196966K->23398K(523776K), 0.0015814 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.434-0800: 35.464: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 196966K->23414K(523776K), 0.0015481 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.537-0800: 35.567: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 196982K->23478K(523776K), 0.0016737 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.648-0800: 35.677: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197046K->23478K(523776K), 0.0015690 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.746-0800: 35.776: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197046K->23494K(523776K), 0.0015613 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.843-0800: 35.873: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197062K->23526K(523776K), 0.0015326 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:34.940-0800: 35.970: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197094K->23534K(523776K), 0.0015304 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:35.042-0800: 36.072: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197102K->23550K(523776K), 0.0016459 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:35.139-0800: 36.168: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197118K->23558K(523776K), 0.0015464 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:35.238-0800: 36.268: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197126K->23558K(523776K), 0.0016036 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:35.341-0800: 36.371: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197126K->23558K(523776K), 0.0015320 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:35.439-0800: 36.468: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197126K->23566K(523776K), 0.0015211 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:35.539-0800: 36.569: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197134K->23574K(523776K), 0.0015327 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-28T23:00:35.642-0800: 36.671: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197142K->23598K(523776K), 0.0015698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:35.740-0800: 36.770: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197166K->23654K(523776K), 0.0015160 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:35.835-0800: 36.864: [GC (Allocation Failure) [PSYoungGen: 173888K->288K(174080K)] 197222K->23630K(523776K), 0.0015314 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:35.934-0800: 36.964: [GC (Allocation Failure) [PSYoungGen: 173856K->320K(174080K)] 197198K->23662K(523776K), 0.0016312 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.040-0800: 37.069: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197230K->23718K(523776K), 0.0016083 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.144-0800: 37.173: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 197286K->23710K(523776K), 0.0016271 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.245-0800: 37.275: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197278K->23806K(523776K), 0.0016468 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.346-0800: 37.376: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 197374K->23830K(523776K), 0.0015865 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.448-0800: 37.477: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197398K->23830K(523776K), 0.0016071 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.552-0800: 37.581: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197398K->23878K(523776K), 0.0015260 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.650-0800: 37.680: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197446K->23950K(523776K), 0.0016099 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.750-0800: 37.780: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197518K->23990K(523776K), 0.0015854 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.851-0800: 37.880: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 197558K->23990K(523776K), 0.0015544 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:36.951-0800: 37.981: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197558K->23990K(523776K), 0.0015502 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.052-0800: 38.082: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197558K->24022K(523776K), 0.0016048 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.151-0800: 38.181: [GC (Allocation Failure) [PSYoungGen: 173920K->320K(174080K)] 197590K->24006K(523776K), 0.0016307 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.253-0800: 38.283: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197574K->24030K(523776K), 0.0016037 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.353-0800: 38.382: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197598K->24030K(523776K), 0.0015680 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.453-0800: 38.483: [GC (Allocation Failure) [PSYoungGen: 173888K->320K(174080K)] 197598K->24038K(523776K), 0.0016119 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.552-0800: 38.582: [GC (Allocation Failure) [PSYoungGen: 173888K->352K(174080K)] 197606K->24086K(523776K), 0.0016083 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2020-10-28T23:00:37.650-0800: 38.680: [GC (Allocation Failure) [PSYoungGen: 173920K->288K(174080K)] 197654K->24038K(523776K), 0.0016111 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
